Date,ABSA Bank Kenya Plc,ABSA NewGold ETF,ARM Cement Plc,Africa Mega Agricorp Plc,BK Group Plc,BOC Kenya Plc,Bamburi Cement Ltd,Britam Holdings Plc,British American Tobacco Kenya Plc,CIC Insurance Group Ltd,Car and General (K) Ltd,Carbacid Investments Plc,Centum Investment Company Plc,Co-operative Bank of Kenya Ltd,Crown Paints Kenya Plc,Deacons (East Africa) Plc,Diamond Trust Bank Kenya Ltd,Eaagads Ltd,East African Breweries Ltd,East African Cables Plc,East African Portland Cement Ltd,Equity Group Holdings Plc,Eveready East Africa Ltd,Express Kenya Plc,Flame Tree Group Holdings Ltd,HF Group Ltd,Home Afrika Ltd,Homeboyz Entertainment Plc,I & M Holdings Plc,Jubilee Holdings Ltd,KCB Group Plc,KPLC-P4,KPLC-P7,Kakuzi Plc,Kapchorua Tea Kenya Plc,Kenya Airways Plc,Kenya Electricity Generating Company Plc,Kenya Power and Lighting Company Plc,Kenya Re-Insurance Corporation Ltd,Kurwitu Ventures Ltd,Laptrust Imara Income-REIT,Liberty Kenya Holdings Ltd,Limuru Tea Plc,Longhorn Publishers Plc,Mumias Sugar Company Ltd,NCBA Group Plc,NSE 10-Share Index,NSE 20-Share Index,NSE 25-Share Index,NSE All-Share Index,NSE Banking Sector Index,NSE Bonds Index,Nairobi Business Ventures Ltd,Nairobi Securities Exchange Plc,Nation Media Group Plc,Olympia Capital Holdings Ltd,Safaricom Plc,Sameer Africa Plc,Sanlam Kenya Plc,Sasini Plc,Satrix MSCI World Feeder ETF,Shri Krishana Overseas Plc,Stanbic Holdings Plc,Standard Chartered Bank Kenya Ltd,Standard Group Plc,TPS Eastern Africa (Serena) Ltd,TotalEnergies Marketing Kenya Plc,Trans-Century Plc,Uchumi Supermarket Plc,Umeme Ltd,Unga Group Ltd,WPP ScanGroup Plc,Williamson Tea Kenya Plc,Zamara Kenya Equity Index (KES),Zamara Kenya Equity Index (USD)
2025-01-16,17.0,3260.0,5.55,70.0,34.0,86.25,57.0,7.36,370.0,2.41,24.1,19.5,11.0,15.7,32.65,0.45,68.5,11.9,180.0,1.14,27.2,48.45,1.17,3.1,0.99,8.22,0.37,4.66,33.6,196.75,43.15,4.0,6.0,395.0,236.25,8.36,4.13,7.0,1.63,1500.0,20.0,7.12,332.0,2.5,0.27,47.45,1325.18,2132.99,3463.12,130.45,,1101.31,2.04,6.34,13.45,3.0,18.6,2.4,5.6,15.15,,,140.0,282.5,5.0,15.25,21.35,0.48,0.18,17.35,17.0,2.83,215.0,2576.63,1713.11
2025-01-17,17.15,3260.0,5.55,70.0,34.95,86.0,57.0,7.46,370.0,2.53,24.1,19.05,10.9,16.2,33.0,0.45,66.25,11.9,180.25,1.12,27.9,48.5,1.21,3.1,0.96,8.98,0.39,4.66,33.2,194.25,42.95,4.0,6.0,395.0,232.0,8.5,4.14,6.98,1.66,1500.0,20.0,7.2,314.0,2.32,0.27,47.65,1330.92,2146.86,3470.62,130.79,,1102.52,2.1,6.72,13.55,3.01,18.6,2.54,6.1,15.1,,,140.25,280.25,5.0,15.05,21.95,0.5,0.19,17.1,17.0,2.81,216.0,2575.36,1712.27
2025-01-20,17.25,3260.0,5.55,70.0,35.0,86.0,56.75,7.84,370.0,2.68,22.25,19.8,11.8,16.25,33.0,0.45,69.0,11.9,180.25,1.13,27.2,48.45,1.15,3.1,0.99,8.96,0.37,4.66,32.6,194.0,43.1,4.0,6.0,395.0,235.0,7.66,4.14,6.86,1.67,1500.0,20.0,7.3,314.0,2.5,0.27,48.85,1340.44,2170.89,3491.94,131.53,,1104.53,2.07,6.4,13.7,3.12,18.9,2.54,6.18,14.8,,,141.5,279.25,4.54,15.0,20.65,0.55,0.2,17.0,17.8,2.88,217.25,2585.01,1720.68
2025-01-21,17.2,3260.0,5.55,70.0,34.95,86.0,56.25,8.0,369.75,2.59,22.05,19.7,12.0,16.05,33.0,0.45,69.25,12.1,183.0,1.2,27.5,48.75,1.22,3.4,0.99,9.42,0.4,4.66,33.3,192.0,43.6,4.0,6.0,395.0,240.0,6.9,4.13,6.6,1.7,1500.0,20.0,7.2,314.0,2.61,0.27,48.1,1345.21,2169.42,3507.54,131.83,,1108.88,2.09,6.44,13.35,3.03,19.0,2.54,6.24,14.9,,,142.75,281.0,4.84,14.5,21.35,0.72,0.21,16.95,16.05,3.0,215.25,2604.44,1733.61
2025-01-22,17.45,3260.0,5.55,70.0,33.5,86.0,56.5,8.08,369.5,2.53,22.05,19.8,12.1,16.05,33.15,0.45,70.0,12.1,184.75,1.32,25.2,49.15,1.24,3.32,1.05,8.96,0.4,4.66,34.7,200.0,44.05,4.0,6.0,395.0,240.0,6.22,4.05,6.48,1.7,1500.0,20.0,7.3,314.0,2.65,0.27,49.0,1353.39,2165.73,3529.74,131.73,,1110.91,2.06,6.44,13.1,3.2,18.9,2.5,6.2,14.9,,,138.25,281.5,4.84,15.0,21.95,0.79,0.23,17.0,17.65,2.99,216.0,2620.09,1744.03
2025-01-23,17.55,3260.0,5.55,70.0,35.55,80.5,56.25,8.24,370.0,2.55,22.05,19.9,11.85,16.2,33.0,0.45,69.75,12.1,189.5,1.45,25.05,48.9,1.22,2.99,1.15,8.98,0.41,4.66,34.9,202.5,45.35,4.0,6.0,395.0,240.0,5.6,4.15,6.48,1.7,1500.0,20.0,7.38,314.0,2.52,0.27,49.6,1365.5,2186.9,3560.14,132.43,,1111.32,2.0,6.5,13.1,3.2,18.9,2.54,6.76,14.95,,,140.0,285.0,5.0,15.0,22.5,0.86,0.23,16.85,18.65,2.86,215.5,2650.78,1765.82
2025-01-24,17.9,3260.0,5.55,70.0,35.05,80.5,55.0,8.44,368.0,2.6,22.0,19.9,11.45,16.2,33.0,0.45,69.75,13.0,193.25,1.59,24.9,48.7,1.24,2.99,1.26,8.12,0.45,4.66,34.9,203.25,45.8,4.0,6.0,395.0,240.0,5.36,4.16,6.36,1.7,1500.0,20.0,7.1,314.0,2.6,0.27,49.05,1371.49,2185.88,3569.73,132.48,,1110.97,2.11,6.48,13.3,3.2,18.9,2.53,7.04,15.0,,,138.0,286.5,5.0,15.5,21.85,0.93,0.24,16.8,18.7,2.97,215.0,2669.4,1778.22
2025-01-27,17.95,3260.0,5.55,70.0,34.4,80.5,56.5,8.54,369.5,2.63,24.1,20.0,12.0,16.3,33.0,0.45,69.75,13.65,193.5,1.73,26.25,48.55,1.22,2.99,1.3,7.44,0.49,4.66,35.05,200.5,45.35,4.0,6.0,395.0,240.0,5.1,4.12,6.4,1.7,1500.0,20.0,7.38,314.0,2.7,0.27,49.75,1370.9,2195.12,3570.86,132.11,,1111.56,2.2,6.48,13.3,3.28,18.8,2.61,6.84,15.15,,,139.0,283.0,5.0,14.0,22.55,0.99,0.23,17.0,19.6,2.97,214.75,2658.28,1770.81
2025-01-28,17.9,3260.0,5.55,70.0,34.4,80.5,58.0,8.46,368.25,2.65,24.7,19.7,11.35,16.4,30.2,0.45,69.5,13.5,194.0,1.9,28.85,48.5,1.25,3.25,1.41,7.28,0.53,4.66,35.15,205.0,45.1,4.0,6.0,395.0,240.0,5.42,4.1,6.36,1.71,1500.0,20.0,6.74,314.0,2.74,0.27,49.5,1370.37,2190.92,3569.94,132.28,,1107.29,2.21,6.44,13.3,3.32,18.85,2.71,6.32,15.0,,,139.25,283.0,5.04,14.9,21.25,1.05,0.24,17.05,20.1,2.81,214.0,2655.76,1769.82
2025-01-29,17.95,3260.0,5.55,70.0,35.85,80.5,57.0,8.16,368.0,2.7,24.7,19.9,11.9,16.45,30.0,0.45,69.5,13.5,195.0,2.05,27.45,48.35,1.22,3.5,1.47,6.98,0.58,4.66,35.0,205.0,44.65,4.0,6.0,395.0,240.0,5.36,4.08,6.44,1.7,1500.0,20.0,6.56,314.0,2.8,0.27,48.75,1360.17,2194.57,3544.38,130.66,,1113.62,2.11,6.46,13.8,3.27,18.3,2.57,6.28,15.05,,,139.0,281.5,4.98,15.0,21.1,1.12,0.25,16.9,19.55,2.85,214.75,2636.19,1756.78
2025-01-30,17.95,3260.0,5.55,63.0,35.85,86.0,57.0,8.06,363.75,2.73,22.45,19.9,11.35,16.45,30.0,0.45,70.0,13.0,191.0,2.25,29.0,47.65,1.26,3.5,1.61,6.82,0.63,4.66,34.8,199.5,43.75,4.0,6.0,434.0,240.0,5.2,4.1,6.78,1.68,1500.0,20.0,6.58,330.0,2.8,0.27,48.6,1338.23,2181.86,3496.44,128.48,,1114.12,2.13,6.6,13.85,3.4,17.7,2.54,6.7,15.0,,,138.5,280.75,5.0,15.0,22.75,1.23,0.26,16.9,18.3,3.04,214.75,2590.39,1727.6
2025-01-31,17.95,3260.0,5.55,56.75,34.85,86.0,59.25,7.26,362.5,2.72,23.05,19.75,10.7,16.55,31.45,0.45,70.0,13.0,180.5,2.47,27.0,47.2,1.21,3.5,1.77,6.7,0.69,4.66,33.7,200.0,42.75,4.0,6.0,434.0,240.0,5.4,4.21,7.56,1.67,1500.0,20.0,6.58,330.0,2.75,0.27,48.5,1312.58,2162.58,3436.04,128.28,,1115.3,2.05,6.36,13.9,3.58,17.2,2.79,7.08,14.95,,,139.0,278.5,5.0,15.1,21.9,1.35,0.28,16.9,19.85,3.32,214.75,2532.5,1687.68
2025-02-03,18.0,3260.0,5.55,56.75,34.85,86.0,57.0,6.64,361.75,2.76,22.9,19.9,11.15,16.5,31.0,0.45,69.5,13.0,179.25,2.71,27.95,48.0,1.31,3.5,1.93,7.32,0.75,4.66,35.0,200.0,43.45,4.0,6.0,430.0,238.75,5.48,4.48,7.08,1.61,1500.0,20.0,6.6,330.0,2.9,0.27,48.35,1325.06,2159.74,3464.7,127.71,,1118.48,2.02,6.38,13.85,3.58,17.6,3.05,6.54,14.95,,,140.75,277.25,5.38,15.1,21.2,1.48,0.3,16.8,20.15,3.38,215.0,2556.32,1703.55
2025-02-04,17.9,3260.0,5.55,56.75,36.0,80.0,55.75,6.94,361.75,2.81,22.9,19.95,11.25,16.3,31.0,0.45,69.5,12.5,179.5,2.98,27.8,48.0,1.44,3.5,2.12,7.94,0.82,4.66,34.6,200.0,44.55,4.0,6.0,430.0,240.0,5.48,4.73,7.0,1.67,1500.0,20.0,7.12,330.0,3.09,0.27,48.5,1332.0,2181.38,3484.6,128.96,,1120.9,2.12,6.48,13.65,3.65,17.85,3.35,6.54,15.0,,,145.0,279.75,5.88,15.3,21.2,1.62,0.32,16.9,20.0,3.52,212.0,2578.45,1718.97
2025-02-05,17.95,3260.0,5.55,56.75,35.45,80.0,56.0,7.02,362.75,2.82,22.9,20.0,11.25,16.2,31.05,0.45,69.75,12.55,179.0,2.97,27.8,48.65,1.52,3.48,2.21,7.64,0.89,4.66,35.3,200.0,45.1,4.0,6.0,430.0,240.0,5.52,4.63,7.04,1.69,1500.0,20.0,6.72,330.0,3.17,0.27,47.95,1344.5,2190.99,3517.65,130.69,,1120.1,2.06,6.56,14.0,3.57,18.45,3.55,6.74,15.25,,,144.75,279.75,6.2,16.0,22.5,1.65,0.33,16.8,18.7,3.66,211.0,2607.29,1737.52
2025-02-06,18.0,3385.0,5.55,56.75,35.45,80.0,58.0,7.0,362.0,2.8,22.9,20.0,11.35,16.15,31.05,0.45,69.75,12.55,183.75,2.68,27.85,48.35,1.51,3.8,2.1,7.54,0.95,4.66,35.25,200.0,45.1,4.0,6.0,430.0,240.0,5.48,4.47,6.94,1.69,1500.0,20.0,6.96,330.0,3.12,0.27,47.9,1343.11,2188.21,3513.25,130.01,,1118.84,2.08,6.58,14.0,3.49,18.15,3.59,7.2,15.5,,,143.5,279.75,6.06,16.0,22.3,1.49,0.36,16.9,20.55,3.87,215.0,2608.56,1739.71
